network,users,algorithm,mean_fairness_index,std_fairness_index,mean_system_throughput_mbps,std_system_throughput_mbps
homogeneous,8,HOLD,0.9999662233631219,0.0,3.5775,0.0
homogeneous,8,QMW,0.125,0.0,2.9895,0.0
homogeneous,8,F-D-MW,0.4858833607839437,0.0,3.8921666666666668,0.0
homogeneous,8,MR,0.99754515221874,0.0,3.962,0.0
homogeneous,8,PF,0.9999955555753085,0.0,3.962,0.0
homogeneous,16,HOLD,0.9999671121927546,0.0,3.7918333333333334,0.0
homogeneous,16,QMW,0.0625,0.0,3.0111666666666665,0.0
homogeneous,16,F-D-MW,0.29459323221147865,0.0,3.9783333333333335,0.0
homogeneous,16,MR,0.996276141178971,0.0,3.9976666666666665,0.0
homogeneous,16,PF,0.9999964444570864,0.0,3.9976666666666665,0.0
homogeneous,32,HOLD,0.9999484471022827,0.0,3.9353333333333333,0.0
homogeneous,32,QMW,0.03125,0.0,3.0025,0.0
homogeneous,32,F-D-MW,0.15719412538306463,0.0,3.9915,0.0
homogeneous,32,MR,0.9951419382003588,0.0,4.0,0.0
homogeneous,32,PF,0.9999928889394565,0.0,4.0,0.0
homogeneous,64,HOLD,0.9999395592088656,0.0,3.9955,0.0
homogeneous,64,QMW,0.031247278014892924,0.0,3.4541666666666666,0.0
homogeneous,64,F-D-MW,0.07625606964422782,0.0,3.997,0.0
homogeneous,64,MR,0.9902855191208729,0.0,4.0,0.0
homogeneous,64,PF,0.9999786671217681,0.0,4.0,0.0
heterogeneous,8,HOLD,0.9989643583152537,0.0,4.6445,0.0
heterogeneous,8,QMW,0.125,0.0,5.002833333333333,0.0
heterogeneous,8,F-D-MW,0.335752492216138,0.0,5.687333333333333,0.0
heterogeneous,8,MR,0.5029721754858077,0.0,5.783,0.0
heterogeneous,8,PF,0.9637575897666845,0.0,4.965833333333333,0.0
heterogeneous,16,HOLD,0.9994371715707996,0.0,4.890833333333333,0.0
heterogeneous,16,QMW,0.0625,0.0,5.002166666666667,0.0
heterogeneous,16,F-D-MW,0.18198924435477454,0.0,5.742,0.0
heterogeneous,16,MR,0.4994650174701764,0.0,5.961666666666667,0.0
heterogeneous,16,PF,0.9616559843359631,0.0,4.998833333333334,0.0
heterogeneous,32,HOLD,0.9996950314025704,0.0,5.058666666666666,0.0
heterogeneous,32,QMW,0.03125,0.0,5.002666666666666,0.0
heterogeneous,32,F-D-MW,0.1368329484982675,0.0,5.934166666666667,0.0
heterogeneous,32,MR,0.49821175195166156,0.0,5.998166666666667,0.0
heterogeneous,32,PF,0.9618869575746412,0.0,5.001,0.0
heterogeneous,64,HOLD,0.9997711885503034,0.0,5.159666666666666,0.0
heterogeneous,64,QMW,0.015625,0.0,5.0265,0.0
heterogeneous,64,F-D-MW,0.07467535139897134,0.0,5.976833333333333,0.0
heterogeneous,64,MR,0.4975216786779456,0.0,6.0,0.0
heterogeneous,64,PF,0.9614003055358613,0.0,4.999666666666666,0.0
